ID,Gender,Race,Age_at_Release,Residence_PUMA,Gang_Affiliated,Supervision_Risk_Score_First,Supervision_Level_First,Education_Level,Dependents,Prison_Offense,Prison_Years,Prior_Arrest_Episodes_Felony,Prior_Arrest_Episodes_Misd,Prior_Arrest_Episodes_Violent,Prior_Arrest_Episodes_Property,Prior_Arrest_Episodes_Drug,Prior_Arrest_Episodes_PPViolationCharges,Prior_Arrest_Episodes_DVCharges,Prior_Arrest_Episodes_GunCharges,Prior_Conviction_Episodes_Felony,Prior_Conviction_Episodes_Misd,Prior_Conviction_Episodes_Viol,Prior_Conviction_Episodes_Prop,Prior_Conviction_Episodes_Drug,Prior_Conviction_Episodes_PPViolationCharges,Prior_Conviction_Episodes_DomesticViolenceCharges,Prior_Conviction_Episodes_GunCharges,Prior_Revocations_Parole,Prior_Revocations_Probation,Condition_MH_SA,Condition_Cog_Ed,Condition_Other,Violations_ElectronicMonitoring,Violations_Instruction,Violations_FailToReport,Violations_MoveWithoutPermission,Delinquency_Reports,Program_Attendances,Program_UnexcusedAbsences,Residence_Changes,Avg_Days_per_DrugTest,DrugTests_THC_Positive,DrugTests_Cocaine_Positive,DrugTests_Meth_Positive,DrugTests_Other_Positive,Percent_Days_Employed,Jobs_Per_Year,Employment_Exempt,Recidivism_Within_3years,Recidivism_Arrest_Year1,Recidivism_Arrest_Year2,Recidivism_Arrest_Year3,Training_Sample,Gang_Affiliated_Missing,Avg_Days_per_DrugTest_Missing,DrugTests_THC_Positive_Missing,DrugTests_Cocaine_Positive_Missing,DrugTests_Meth_Positive_Missing,DrugTests_Other_Positive_Missing,Prison_Offense_Missing
11,M,WHITE,43-47,5,False,3.0,Specialized,Less than HS diploma,1,Violent/Non-Sex,1-2 years,3,6 or more,2,1,1,3,True,False,0,3,False,0,0,True,False,False,True,False,True,True,False,True,True,False,False,0,9,2,2,42.8,0.300000012,0.0,0.300000012,0.0,1.0,3.413551402,True,True,False,True,False,1,0,0,0,0,0,0,0
12,M,BLACK,33-37,16,False,5.0,Specialized,High School Diploma,3 or more,Other,1-2 years,10 or more,1,1,1,2,3,False,False,3 or more,1,False,0,2 or more,False,False,False,False,True,True,True,True,False,True,False,False,4 or more,10 or more,0,0,8.04,0.039999999,0.0,0.079999998,0.0,0.0,0.0,True,True,True,False,False,0,0,0,0,0,0,0,0
13,M,WHITE,48 or older,18,False,3.0,Standard,Less than HS diploma,1,Property,More than 3 years,8,4,0,5 or more,2,1,False,False,1,0,False,2,1,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,1,174.398005344,0.0,0.0,0.016055046,0.002293578,0.0,,False,False,False,False,False,1,0,1,0,0,0,0,0
14,M,BLACK,33-37,3,True,7.0,,High School Diploma,0,Drug,1-2 years,10 or more,3,1,1,5 or more,5 or more,False,False,0,1,True,1,2 or more,False,False,False,False,False,True,False,True,False,False,False,False,0,10 or more,0,1,,,0.015840698,0.000176834,0.047823885,1.0,1.0,False,True,True,False,False,1,0,1,1,1,1,1,0
15,M,WHITE,33-37,5,False,7.0,Standard,Less than HS diploma,1,Violent/Non-Sex,Greater than 2 to 3 years,9,3,2,2,4,4,False,True,3 or more,2,True,1,1,True,False,False,False,False,True,True,True,False,False,False,False,0,6,0,1,98.75,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,0,0,0,0,0,0,0,0
16,M,BLACK,33-37,3,False,4.0,Standard,Less than HS diploma,3 or more,Drug,More than 3 years,4,6 or more,0,0,3,4,False,True,2,4 or more,False,0,2 or more,True,False,False,False,False,True,True,False,False,False,True,False,0,2,0,0,74.5,0.0,0.0,0.0,0.0,0.338926174,0.61283557,False,False,False,False,False,0,0,0,0,0,0,0,1
17,M,BLACK,38-42,16,False,6.0,High,Less than HS diploma,3 or more,Property,1-2 years,10 or more,5,2,3,3,4,True,False,3 or more,4 or more,True,1,2 or more,True,False,False,False,True,True,True,False,False,False,False,False,0,10 or more,0,0,114.5,0.0,0.0,0.0,0.0,0.545851528,2.0,False,True,True,False,False,1,0,0,0,0,0,0,0
18,M,WHITE,43-47,24,False,1.0,Standard,High School Diploma,3 or more,Property,Less than 1 year,10 or more,6 or more,0,5 or more,0,5 or more,True,True,3 or more,2,False,3 or more,0,True,False,False,True,False,True,False,False,False,False,False,False,0,0,0,2,,0.093973268,3.36e-07,0.005504068,0.015415901,0.452138493,0.74389002,False,True,False,True,False,1,0,1,1,1,1,1,0
19,M,BLACK,48 or older,12,False,7.0,High,At least some college,3 or more,Property,More than 3 years,10 or more,4,0,5 or more,0,5 or more,False,False,3 or more,3,False,2,0,True,False,False,False,False,False,True,False,False,False,False,False,3,0,0,2,43.66666667,0.0,0.0,0.0,0.0,0.918575064,0.464694656,False,False,False,False,False,1,0,0,0,0,0,0,0
20,M,WHITE,48 or older,16,False,3.0,Standard,Less than HS diploma,0,Property,1-2 years,10 or more,6 or more,0,5 or more,1,5 or more,False,True,2,4 or more,False,3 or more,0,True,False,True,True,True,True,True,False,False,False,False,False,4 or more,0,0,1,228.0,0.0,0.0,0.0,0.0,0.794736842,0.320394737,False,True,False,False,True,1,0,0,0,0,0,0,0
21,M,BLACK,38-42,5,False,3.0,Standard,High School Diploma,3 or more,Violent/Non-Sex,Less than 1 year,6,6 or more,3 or more,1,0,3,True,False,3 or more,2,True,0,0,True,True,False,False,False,True,False,True,False,False,False,False,0,1,0,0,46.041486832,0.014280667,,1.3e-08,0.041017537,1.0,2.0,False,False,False,False,False,1,0,1,1,1,1,1,0
22,M,BLACK,33-37,16,False,5.0,Standard,Less than HS diploma,3 or more,Drug,1-2 years,10 or more,6 or more,0,1,5 or more,5 or more,False,False,2,4 or more,False,0,2 or more,True,False,False,False,True,True,True,False,False,False,False,False,0,6,0,0,22.85,0.050000001,0.0,0.0,0.0,1.0,3.196936543,False,False,False,False,False,1,0,0,0,0,0,0,0
23,F,WHITE,48 or older,5,,4.0,,High School Diploma,0,Violent/Non-Sex,1-2 years,2,6 or more,3 or more,5 or more,0,1,True,False,2,2,True,1,0,False,True,False,False,False,True,True,False,False,False,False,False,0,6,0,0,15.5,0.0,0.0,0.055555556,0.0,0.0,0.0,False,False,False,False,False,0,1,0,0,0,0,0,0
24,F,WHITE,43-47,16,False,5.0,Standard,Less than HS diploma,0,Other,1-2 years,10 or more,6 or more,3 or more,5 or more,1,5 or more,True,False,3 or more,3,False,2,1,True,False,False,False,False,True,False,False,False,False,False,False,0,0,0,1,218.935504508,,1.215e-06,0.003255946,0.000325057,0.99137931,1.0,False,False,False,False,False,1,1,1,1,1,1,1,0
25,M,BLACK,38-42,18,False,5.0,Standard,Less than HS diploma,3 or more,Drug,Less than 1 year,10 or more,6 or more,3 or more,1,5 or more,5 or more,True,False,3 or more,4 or more,True,1,2 or more,True,False,False,False,True,False,False,False,False,False,False,False,0,0,0,1,196.0,0.0,0.0,0.0,0.0,0.196428571,0.931760204,False,True,True,False,False,1,0,0,0,0,0,0,0
26,M,WHITE,48 or older,17,False,2.0,,Less than HS diploma,1,Property,1-2 years,9,5,0,5 or more,0,5 or more,False,False,3 or more,4 or more,False,3 or more,0,True,False,False,False,False,True,False,False,False,False,False,False,0,0,0,1,50.064317927,0.059392186,9.5108e-05,0.000156016,6.256e-06,1.0,2.0,False,True,True,False,False,1,0,1,1,1,1,1,0
27,M,WHITE,48 or older,14,False,2.0,Specialized,Less than HS diploma,0,Drug,1-2 years,9,6 or more,0,0,2,5 or more,False,False,3 or more,4 or more,False,0,2 or more,True,False,False,False,False,True,False,True,False,False,False,False,4 or more,6,0,0,31.0,0.0,0.0,0.0,0.0,0.806451613,1.0,False,False,False,False,False,0,0,0,0,0,0,0,0
28,M,WHITE,48 or older,23,False,3.0,Standard,Less than HS diploma,0,Other,1-2 years,10 or more,6 or more,3 or more,5 or more,1,5 or more,False,False,3 or more,4 or more,True,3 or more,1,True,False,False,False,False,True,True,False,False,False,False,False,0,5,3 or more,1,43.14285714,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,True,False,0,0,0,0,0,0,0,0
29,M,BLACK,43-47,6,False,6.0,High,High School Diploma,0,Property,Greater than 2 to 3 years,7,6 or more,0,5 or more,0,2,False,True,2,3,False,3 or more,0,True,False,False,False,False,True,True,False,False,False,False,False,0,0,0,3 or more,357.4,0.0,0.0,0.0,0.0,0.895355344,0.204392837,True,False,False,False,False,1,0,0,0,0,0,0,0
30,M,BLACK,18-22,2,False,10.0,Specialized,Less than HS diploma,0,Property,1-2 years,5,2,0,2,4,1,False,False,0,0,False,0,0,False,False,False,False,False,True,False,True,False,False,False,False,0,0,0,3 or more,1087.0,1.0,0.0,0.0,0.0,0.0,0.0,False,True,True,False,False,1,0,0,0,0,0,0,0
31,M,WHITE,43-47,14,False,10.0,Specialized,At least some college,0,Property,1-2 years,10 or more,6 or more,3 or more,5 or more,0,5 or more,True,True,3 or more,4 or more,False,3 or more,0,True,False,False,False,True,True,False,True,False,True,False,False,4 or more,2,0,0,23.8,0.0,0.0,0.200000003,0.200000003,0.714285714,1.0,False,True,True,False,False,0,0,0,0,0,0,0,0
32,F,WHITE,43-47,16,True,9.0,Specialized,Less than HS diploma,0,Property,1-2 years,10 or more,6 or more,2,5 or more,0,4,False,False,3 or more,4 or more,True,3 or more,0,True,False,False,False,False,True,True,False,False,False,False,False,0,10 or more,0,1,40.020112135,0.265552737,,0.001492259,,1.0,0.706479691,True,False,False,False,False,1,1,1,1,1,1,1,0
33,M,WHITE,43-47,25,True,8.0,Standard,High School Diploma,1,Drug,1-2 years,10 or more,2,3 or more,4,2,5 or more,False,True,3 or more,3,True,1,2 or more,True,False,True,False,False,True,True,False,False,False,False,False,0,6,2,0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,True,False,1,0,0,0,0,0,0,0
34,F,WHITE,38-42,12,True,10.0,Specialized,At least some college,3 or more,Property,1-2 years,10 or more,6 or more,0,5 or more,5 or more,5 or more,False,False,1,4 or more,False,3 or more,2 or more,True,False,False,False,True,True,False,False,False,False,False,False,0,6,0,0,44.625,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,False,False,1,1,0,0,0,0,0,0
35,M,WHITE,33-37,14,False,4.0,Standard,Less than HS diploma,0,Drug,Less than 1 year,5,6 or more,1,0,4,5 or more,False,True,3 or more,4 or more,False,0,2 or more,True,False,False,False,False,False,False,False,False,False,False,False,2,3,2,0,12.71428571,0.285714298,0.0,0.285714298,0.142857149,0.0,0.0,False,True,True,False,False,0,0,0,0,0,0,0,0
36,M,BLACK,48 or older,10,False,2.0,Standard,Less than HS diploma,0,Drug,Less than 1 year,10 or more,6 or more,1,5 or more,4,4,False,False,3 or more,4 or more,False,3 or more,1,True,False,False,False,False,True,False,False,False,True,False,True,4 or more,1,1,2,27.72727273,0.0,0.227272734,0.0,0.0,0.654098361,0.598770492,True,False,False,False,False,1,0,0,0,0,0,0,0
37,M,WHITE,43-47,14,False,3.0,,High School Diploma,2,Drug,Less than 1 year,10 or more,6 or more,3 or more,1,5 or more,5 or more,False,False,3 or more,4 or more,True,0,2 or more,True,False,False,False,False,True,True,False,False,False,False,False,0,0,0,0,,,5.9975e-05,0.001211367,0.002710375,0.0,0.0,False,False,False,False,False,1,0,1,1,1,1,1,0
38,M,BLACK,33-37,3,True,6.0,High,Less than HS diploma,0,Property,Greater than 2 to 3 years,10 or more,6 or more,0,5 or more,0,5 or more,False,False,2,4 or more,False,3 or more,0,True,False,False,False,False,True,True,False,False,True,False,True,3,0,0,1,71.06666667,0.06666667,0.0,0.0,0.0,0.0,0.0,False,True,False,False,True,1,0,0,0,0,0,0,0
39,M,BLACK,33-37,12,False,3.0,Standard,High School Diploma,3 or more,Violent/Non-Sex,Less than 1 year,8,6 or more,2,2,1,5 or more,False,False,3 or more,4 or more,True,2,1,True,False,False,False,False,True,False,True,False,False,False,False,0,4,1,0,13.16666667,0.0,0.0,0.0,0.0,1.0,1.0,False,True,False,False,True,1,0,0,0,0,0,0,0
40,F,BLACK,38-42,2,False,2.0,Standard,At least some college,1,Property,1-2 years,2,0,0,1,0,0,False,False,0,0,False,0,0,False,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,83.799515302,0.050015759,2.283e-05,0.001810716,0.001460776,0.981412639,1.0,False,False,False,False,False,1,1,1,1,1,1,1,0
41,M,WHITE,33-37,14,False,10.0,Specialized,High School Diploma,1,Property,More than 3 years,10 or more,6 or more,1,5 or more,1,5 or more,False,False,3 or more,4 or more,True,3 or more,0,True,False,False,True,False,True,True,True,False,False,False,False,2,4,3 or more,1,16.28571429,0.142857149,0.0,0.285714298,0.0,1.0,1.0,False,True,True,False,False,1,0,0,0,0,0,0,0
42,M,BLACK,48 or older,3,False,3.0,Specialized,High School Diploma,3 or more,Violent/Non-Sex,1-2 years,9,4,3 or more,0,0,4,False,True,2,1,True,0,0,True,True,False,False,True,False,True,True,False,False,False,False,0,0,0,0,136.5,0.0,0.0,0.0,0.0,0.886446886,2.0,False,False,False,False,False,1,0,0,0,0,0,0,0
43,F,WHITE,43-47,16,,2.0,Standard,At least some college,0,Property,Less than 1 year,10 or more,6 or more,3 or more,5 or more,1,5 or more,False,False,3 or more,2,False,3 or more,0,True,False,False,False,False,True,False,False,False,False,False,False,0,5,2,2,10.34146899,0.187770381,0.005438271,0.010451344,0.033073756,0.0,0.0,False,True,True,False,False,0,1,1,1,1,1,1,0
44,M,WHITE,33-37,16,False,9.0,Specialized,High School Diploma,3 or more,Violent/Non-Sex,Less than 1 year,10 or more,6 or more,2,4,4,5 or more,False,True,3 or more,4 or more,True,1,2 or more,True,False,True,False,False,True,True,True,False,False,True,False,4 or more,10 or more,3 or more,0,145.5,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,False,False,0,0,0,0,0,0,0,0
45,M,BLACK,43-47,21,True,5.0,,High School Diploma,0,Drug,1-2 years,8,6 or more,3 or more,2,2,5 or more,False,True,3 or more,2,True,1,2 or more,True,False,True,False,False,True,True,True,False,False,False,False,4 or more,0,0,2,56.33333333,0.0,0.0,0.0,0.0,1.0,2.0,False,True,False,True,False,0,0,0,0,0,0,0,0
46,M,BLACK,38-42,24,False,4.0,Specialized,Less than HS diploma,3 or more,Violent/Non-Sex,Greater than 2 to 3 years,5,4,1,1,0,3,False,False,2,2,True,0,0,True,False,False,False,False,False,False,True,True,False,False,False,0,4,0,0,25.77272727,0.0,0.0,0.0,0.0,0.50617284,1.288359788,False,True,False,False,True,0,0,0,0,0,0,0,0
47,M,WHITE,38-42,12,False,4.0,Standard,High School Diploma,2,Drug,Less than 1 year,4,6 or more,0,2,3,4,False,False,2,4 or more,False,1,2 or more,True,False,False,False,False,True,False,False,False,False,False,False,4 or more,6,0,0,16.86,0.059999999,0.0,0.039999999,0.039999999,0.985765125,0.433274021,False,False,False,False,False,1,0,0,0,0,0,0,0
48,M,WHITE,38-42,4,False,3.0,Specialized,High School Diploma,1,Violent/Sex,1-2 years,3,0,0,1,0,0,False,False,0,0,False,0,0,False,False,False,False,False,False,True,True,True,False,False,False,0,10 or more,0,0,97.8,0.0,0.0,0.0,0.0,1.0,1.493865031,False,False,False,False,False,1,0,0,0,0,0,0,0
49,M,WHITE,33-37,16,False,4.0,Standard,High School Diploma,3 or more,Other,Less than 1 year,6,2,0,2,2,1,False,True,3 or more,1,False,2,1,True,False,True,False,False,True,False,False,False,False,False,False,0,6,0,3 or more,109.3333333,0.0,0.0,0.0,0.0,0.734756098,2.0,False,True,True,False,False,0,0,0,0,0,0,0,0
50,M,BLACK,38-42,17,False,9.0,Specialized,Less than HS diploma,0,Drug,Greater than 2 to 3 years,7,6 or more,1,3,3,0,False,False,3 or more,1,False,0,2 or more,False,False,False,True,False,False,False,False,False,False,False,False,0,3,0,3 or more,50.31578947,0.0,0.0,0.0,0.0,1.0,2.292364017,False,False,False,False,False,1,0,0,0,0,0,0,0
51,F,WHITE,43-47,9,False,7.0,High,At least some college,0,Property,1-2 years,10 or more,6 or more,0,5 or more,5 or more,5 or more,False,True,3 or more,4 or more,False,3 or more,2 or more,True,False,False,False,False,True,True,False,False,True,False,False,4 or more,10 or more,0,3 or more,33.84848485,0.0,0.0,0.030303031,0.0,0.064458371,0.326991943,False,False,False,False,False,1,1,0,0,0,0,0,0
52,M,WHITE,33-37,14,False,9.0,Specialized,At least some college,0,Drug,Less than 1 year,10 or more,6 or more,1,5 or more,4,5 or more,False,False,3 or more,4 or more,False,3 or more,2 or more,True,False,False,False,False,True,True,True,False,False,True,True,2,0,0,1,58.670020849,0.15831176,0.056414343,0.085713644,0.212919057,0.0,0.0,False,True,True,False,False,1,0,1,1,1,1,1,0
53,M,WHITE,18-22,21,False,8.0,Specialized,At least some college,3 or more,Other,1-2 years,6,3,1,1,1,4,True,False,3 or more,2,True,1,1,True,True,False,False,False,True,True,False,False,True,True,True,4 or more,10 or more,2,3 or more,15.87878788,0.060606062,0.0,0.030303031,0.030303031,0.286259542,2.091125954,True,True,False,True,False,1,0,0,0,0,0,0,0
54,M,BLACK,48 or older,3,False,5.0,Standard,Less than HS diploma,3 or more,Drug,Less than 1 year,10 or more,6 or more,2,5 or more,5 or more,5 or more,False,False,3 or more,4 or more,False,3 or more,2 or more,True,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,,0.173447279,0.002156717,0.013396605,0.000781985,0.0,0.0,False,False,False,False,False,1,0,1,1,1,1,1,0
55,M,BLACK,38-42,3,False,5.0,Specialized,High School Diploma,3 or more,Property,1-2 years,8,6 or more,0,5 or more,1,5 or more,False,False,3 or more,4 or more,False,3 or more,1,True,False,False,False,False,False,False,True,False,False,False,False,0,10 or more,1,0,36.89655172,0.0,0.0,0.0,0.0,0.945794393,0.34135514,False,False,False,False,False,1,0,0,0,0,0,0,0
56,M,BLACK,23-27,4,False,8.0,High,Less than HS diploma,3 or more,Drug,Greater than 2 to 3 years,4,2,2,0,3,2,True,False,1,3,True,0,1,False,True,False,False,False,True,True,False,False,True,False,False,4 or more,8,1,3 or more,858.0,0.5,0.0,0.0,0.0,0.0,0.0,False,True,True,False,False,1,0,0,0,0,0,0,1
57,M,BLACK,38-42,3,False,,High,High School Diploma,0,Violent/Sex,1-2 years,10 or more,6 or more,2,0,2,5 or more,False,False,3 or more,3,False,0,0,True,False,False,True,False,False,False,True,False,False,True,False,4 or more,10 or more,3 or more,0,57.1875,0.0,0.0,0.0,0.0,1.0,0.798360656,False,True,False,False,True,1,0,0,0,0,0,0,0
348,M,WHITE,33-37,17,False,7.0,High,Less than HS diploma,1,Property,1-2 years,4,5,0,1,0,5 or more,False,True,2,4 or more,True,2,0,True,False,False,False,False,True,False,True,False,False,False,False,0,0,0,2,29.142946218,0.114015278,0.000145441,0.001500487,0.01263672,0.816425121,2.0,False,True,False,True,False,0,0,1,1,1,1,1,0
58,M,BLACK,38-42,6,False,5.0,Standard,At least some college,0,Violent/Non-Sex,Greater than 2 to 3 years,10 or more,6 or more,3 or more,5 or more,1,5 or more,True,False,1,4 or more,True,1,0,True,True,False,False,False,False,True,True,False,False,False,False,4 or more,0,0,2,115.7142857,0.142857149,0.0,0.0,0.0,0.0,0.0,False,True,False,False,True,0,0,0,0,0,0,0,0
59,M,BLACK,33-37,3,False,7.0,High,High School Diploma,3 or more,Drug,1-2 years,6,6 or more,0,1,5 or more,4,False,False,3 or more,0,False,1,2 or more,False,False,False,False,False,True,True,False,False,False,False,False,0,6,1,0,532.0,0.0,0.0,0.0,0.0,0.211466165,0.343280075,False,True,True,False,False,1,0,0,0,0,0,0,1
60,M,WHITE,43-47,3,False,6.0,High,Less than HS diploma,3 or more,Other,1-2 years,6,6 or more,0,0,5 or more,3,False,True,3 or more,4 or more,False,0,2 or more,True,False,False,True,False,True,False,False,False,False,False,False,0,10 or more,1,0,12.21621622,0.0,0.0,0.081081077,0.0,0.0,0.0,False,True,False,True,False,0,0,0,0,0,0,0,1
61,M,BLACK,33-37,5,False,9.0,Specialized,Less than HS diploma,1,Property,Greater than 2 to 3 years,7,5,1,2,5 or more,3,False,False,2,4 or more,False,1,2 or more,False,False,False,False,False,True,True,False,False,True,False,False,0,10 or more,3 or more,0,78.0,0.210526317,0.0,0.0,0.0,0.220647773,0.24645749,False,False,False,False,False,1,0,0,0,0,0,0,0
62,F,WHITE,48 or older,3,,3.0,,Less than HS diploma,0,Property,Less than 1 year,10 or more,5,0,5 or more,0,5 or more,False,False,3 or more,4 or more,False,3 or more,0,True,False,False,False,False,True,True,False,False,False,False,False,0,0,0,1,13.53846154,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,1,1,0,0,0,0,0,0
63,M,BLACK,43-47,5,False,3.0,Standard,High School Diploma,2,Property,Less than 1 year,10 or more,6 or more,2,5 or more,5 or more,5 or more,False,False,2,4 or more,False,2,1,True,False,False,False,False,True,False,False,False,False,True,False,0,0,3 or more,0,135.6666667,0.0,0.0,0.0,0.0,0.314496314,0.897420147,False,False,False,False,False,0,0,0,0,0,0,0,0
64,F,WHITE,43-47,6,False,7.0,Standard,High School Diploma,2,Other,Greater than 2 to 3 years,10 or more,6 or more,3 or more,5 or more,1,5 or more,True,False,2,2,False,2,1,True,False,True,False,True,True,True,False,False,False,False,False,0,1,0,1,33.2,0.0,0.0,0.050000001,0.100000001,0.954819277,0.550075301,False,False,False,False,False,1,1,0,0,0,0,0,0
65,F,WHITE,48 or older,19,True,7.0,High,High School Diploma,0,Property,1-2 years,4,3,0,2,1,2,False,False,3 or more,1,False,2,1,False,False,False,False,False,True,True,False,False,True,False,True,4 or more,9,0,0,159.875,0.0,0.125,0.0,0.0,0.254104769,0.285574668,False,True,True,False,False,1,1,0,0,0,0,0,0
66,M,BLACK,33-37,9,True,10.0,Specialized,At least some college,0,Property,1-2 years,10 or more,6 or more,0,5 or more,4,5 or more,False,False,3 or more,4 or more,False,3 or more,2 or more,True,False,False,False,False,True,False,False,False,True,False,False,0,0,0,1,22.5,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,False,False,1,0,0,0,0,0,0,0
67,M,BLACK,28-32,20,False,7.0,High,Less than HS diploma,3 or more,Drug,1-2 years,4,5,0,2,1,2,True,False,2,4 or more,True,2,0,True,False,False,False,False,True,True,False,False,False,False,False,2,0,0,3 or more,89.77777778,0.0,0.0,0.0,0.0,1.0,1.808168317,False,False,False,False,False,0,0,0,0,0,0,0,0
