AgeatRelease1822,PriorArrestEpisodesDrughigh,PriorConvictionEpisodesFelonyhigh,JobsPerYear,AvgDaysperDrugTest
0,0,1,0.0,84.75
0,0,1,0.0,21.72
0,0,0,0.858065779,182.4285714
0,0,1,0.295509709,61.8
0,0,0,0.0,76.0
0,0,0,0.759355509,96.2
0,0,1,0.0,92.690487363
0,1,1,0.564528594,71.88888889
0,0,1,0.0,11.75
0,1,1,0.0,43.27272727
0,0,1,0.0,37.1
0,0,0,0.0,24.64102564
0,0,1,2.0,71.75
0,0,1,0.0,651.0
0,0,1,4.623417722,12.34375
0,0,1,1.78606357,81.8
0,0,0,0.0,197.0
0,0,0,0.218189964,40.82926829
0,1,0,0.981854839,24.8
0,0,1,1.0,20.875
0,0,1,0.875899281,41.7
0,1,1,1.0,14.1
0,0,1,0.0,21.640736247
0,1,0,2.71898263,17.52173913
0,1,1,0.871718377,59.85714286
0,0,0,0.381661442,159.5
0,0,0,0.941365979,388.0
0,0,1,0.676388889,12.0
0,0,1,0.0,15.75
0,0,1,5.0,104.0
0,0,1,0.391899142,46.6
0,0,1,0.0,250.0
0,0,1,3.0,62.75
0,0,0,3.366359447,24.11111111
0,0,1,0.0,64.625
0,0,1,0.956151832,76.4
0,0,0,2.0,107.3333333
0,1,1,0.307190917,38.35483871
0,0,0,0.0,102.0
0,0,0,1.694895592,215.5
0,0,0,1.808168317,80.8
0,0,0,1.543309859,47.33333333
0,0,1,0.785483871,65.302184651
0,0,1,0.0,132.2
0,0,1,0.830742987,42.5483871
0,0,1,0.0,98.0
0,0,1,0.0,65.71428571
0,0,0,0.0,21.35294118
0,0,1,0.0,28.86666667
0,0,1,0.0,181.867137996
0,1,1,0.192744063,189.5
0,1,0,0.697041985,65.5
0,0,0,1.0,21.0
0,0,0,3.310422961,12.03636364
0,0,0,1.0,17.31578947
0,0,1,0.248300476,294.2
0,0,1,0.0,139.5
0,0,1,1.698837209,86.0
0,0,1,0.44085697,66.28
0,0,1,2.795280612,130.6666667
0,1,1,1.0,37.83333333
0,1,0,0.0,75.0
0,0,0,0.0,37.0
0,1,1,0.0,24.46666667
0,0,0,0.70511583,157.206377337
0,0,1,2.906498674,25.13333333
0,0,0,0.611297071,199.1666667
0,0,1,0.0,21.1
0,1,0,1.0,71.2
0,0,1,1.0,25.66666667
0,0,1,1.029840226,354.6666667
0,0,0,0.0,186.5
0,0,1,0.0,35.9
0,0,0,2.824097938,77.6
0,1,1,0.717583497,509.0
0,0,1,0.0,2.666666667
0,0,1,0.970119522,107.5714286
0,0,1,0.878004808,104.0
0,0,1,1.0,29.375
0,0,0,0.0,47.25
0,0,1,3.0,27.2
0,0,1,0.56627907,80.625
0,0,0,0.235341495,47.03030303
0,0,0,0.471290323,129.1666667
0,0,0,1.475757576,165.0
0,0,0,1.0,33.71428571
0,0,0,0.0,270.0
0,0,1,2.0,100.0
0,1,1,0.521041369,70.1
0,0,0,1.066423358,88.534876399
0,0,1,0.541913947,26.96
0,1,1,0.376352396,242.625
0,0,0,0.0,21.16666667
0,1,0,1.756009615,46.693356795
0,0,1,0.0,189.0
0,0,0,2.0,35.0
0,0,1,0.0,252.58380874
0,0,1,1.0,110.693514651
0,0,1,0.497277059,122.4166667
0,1,0,0.0,13.11111111
0,0,0,1.0,19.66666667
0,0,1,0.695714286,75.0
0,0,0,0.0,50.8
0,0,0,0.861438679,169.6
0,1,0,0.268961708,123.4545455
0,0,0,3.0,87.75
0,1,1,1.304464286,50.90909091
0,0,1,0.403145695,34.84615385
0,1,1,0.670183486,54.5
0,0,1,0.0,81.755421354
0,0,0,1.0,36.66666667
0,0,1,1.0,23.33333333
0,0,0,2.408241758,75.83333333
0,0,0,0.461757269,79.1
0,0,1,1.090298507,51.53846154
0,0,1,0.227004351,40.225
0,0,0,0.818946188,89.2
0,0,1,0.505886427,361.0
0,0,1,3.899466192,93.66666667
0,0,1,0.0,44.69230769
0,0,1,0.494918699,49.2
0,0,0,0.0,229.6666667
0,0,1,0.0,120.6666667
0,0,0,0.0,31.5
0,0,1,1.0,21.47058824
0,0,0,3.0,44.0
0,0,1,0.0,21.05
0,1,1,0.350527831,49.61904762
0,0,1,0.841589862,72.33333333
0,1,1,1.040598291,27.0
0,0,0,0.407645089,34.46153846
0,1,0,0.333866545,364.6666667
0,0,0,1.236040609,197.0
0,0,1,0.0,33.03846154
0,0,0,0.800547945,114.0625
0,1,0,2.0,119.3333333
0,0,1,1.552053824,22.77419355
0,0,0,0.0,9.416666667
0,0,0,0.867577197,15.295837978
0,0,0,1.868286445,195.5
0,0,1,0.745408163,10.20833333
0,0,1,1.82625,36.36363636
0,1,0,0.355474453,228.3333333
0,0,0,1.640344311,55.66666667
0,1,0,0.293373494,27.06521739
0,0,0,1.0,163.957248721
0,0,0,0.348520992,524.0
0,0,0,0.956151832,76.4
0,0,0,0.363794821,48.216351847
0,0,1,1.0,9.0
0,1,0,2.0,6.55
0,0,1,0.0,20.55
0,1,1,1.598468271,17.57692308
0,0,1,2.0,91.0
0,0,0,1.46686747,20.32653061
0,0,1,0.264482259,197.2857143
0,0,1,0.0,103.660384908
0,0,1,0.446515892,272.6666667
0,0,0,0.0,129.3846154
0,0,0,0.742378049,30.75
0,0,0,0.915413534,17.517198958
0,0,0,0.0,65.66666667
0,0,0,0.0,10.263696015
0,0,1,1.0,6.434782609
0,0,1,0.0,66.5
0,0,1,0.0,9.58974359
0,0,1,0.0,117.5
0,1,0,0.41552901,175.8
0,0,1,0.98849797,61.58333333
0,0,0,0.4343044,56.06666667
0,0,1,1.0,20.8
0,0,1,0.0,84.6
0,1,1,0.905204461,161.4
0,1,1,1.770193861,24.76
0,0,0,0.0,81.0
0,1,1,0.680167598,23.34782609
0,0,0,2.0,48.6
0,1,1,0.151871102,72.87878788
0,0,0,0.528964518,98.64285714
0,0,0,1.584598698,4.75257732
0,0,0,0.0,212.856244384
0,0,1,0.534381858,455.6666667
0,0,1,0.0,109.522733632
0,0,1,1.0,22.0
0,1,0,0.995231608,61.16666667
0,1,1,0.356515373,89.08695652
0,0,1,0.555936073,164.25
0,1,1,0.0,36.09090909
0,0,1,1.697850087,22.94666667
0,0,0,2.0,72.0
0,0,1,0.594869707,61.4
0,0,1,0.582535885,31.35
0,0,0,0.0,93.76923077
0,0,1,0.0,79.8
0,0,1,1.249429875,73.08333333
0,0,0,0.298406863,72.0
0,0,1,0.455708047,178.1111111
0,0,1,0.364885115,250.25
0,1,0,0.0,65.31818182
0,1,0,1.0,7.571428571
0,0,1,0.0,256.6666667
0,0,1,2.898809524,126.0
0,0,1,1.109058704,49.4
0,0,0,1.0,56.327708839
0,0,1,0.0,5.931818182
0,1,0,0.0,63.239163029
0,0,1,0.953655352,95.75
0,0,0,0.847447796,71.83333333
0,0,1,1.0,118.0
0,0,1,1.407514451,94.36363636
0,1,1,0.185972505,37.05660377
0,0,0,0.503793103,65.90909091
0,0,1,0.541111111,43.271986496
0,0,1,2.0,53.4
1,0,0,1.808168317,80.8
0,1,1,2.0,98.66666667
0,0,1,1.0,9.0
0,0,0,1.0,28.0
0,1,1,0.0,60.11111111
0,0,0,0.0,34.23076923
0,0,0,0.746169561,244.75
0,0,0,1.0,12.45
0,0,0,1.493865031,97.8
0,0,1,1.380907372,52.9
0,1,1,0.764121339,191.2
0,0,1,0.729041916,83.5
0,0,0,1.356545961,26.925
0,0,0,0.286246082,127.6
0,0,0,0.0,57.2
0,1,1,4.0,31.011485335
0,0,0,0.0,330.0
0,1,0,1.0,87.5
0,1,1,1.443675889,101.2
0,0,0,0.561923077,162.5
0,0,1,0.0,2.909090909
0,1,1,0.0,38.8
0,1,1,1.437992126,254.0
0,1,1,1.006198347,145.2
0,1,1,1.255154639,30.63157895
0,0,0,2.0,82.5
0,1,1,0.598770492,305.0
0,0,1,0.0,116.0
0,1,1,0.0,104.4
0,0,1,0.0,71.75
0,0,1,0.0,14.2
0,1,1,0.0,316.0
0,0,1,0.212231261,573.6666667
0,0,0,0.73937247,33.131532366
0,0,0,0.0,48.4
0,0,0,0.151117087,483.4
0,0,0,1.27486911,36.96774194
0,0,0,0.0,54.06666667
0,1,0,1.953208556,187.0
0,0,1,2.0,29.91666667
0,0,0,0.467071611,48.875
0,0,0,2.0,78.5
0,0,0,0.0,52.4
0,0,0,1.482746955,369.5
0,0,0,0.346537002,50.19047619
0,0,0,1.008977901,181.0
0,0,1,0.319833625,95.16666667
0,0,0,1.0,9.810810811
0,0,1,1.0,9.904761905
0,0,0,0.247627119,491.6666667
0,0,0,0.518821023,117.3333333
0,0,1,1.22979798,148.5
0,0,0,1.342830882,34.0
0,0,0,0.771111893,710.5
0,0,1,1.201480263,228.0
0,0,0,0.44165659,330.8
0,0,1,2.993852459,37.53846154
0,0,1,0.85840188,34.04
0,0,0,0.42920094,18.91111111
0,0,1,0.0,27.76190476
0,1,1,0.210883372,173.2
0,0,0,0.181806869,287.0
0,0,0,0.916562108,49.8125
0,1,1,0.0,103.6
0,1,0,2.64673913,69.0
0,0,1,0.0,17.0
0,0,0,0.0,39.0
0,0,0,1.0,102.5
0,1,0,1.0,61.6
0,0,1,0.0,93.193801592
0,0,1,1.0,83.0
0,0,0,0.652232143,93.33333333
0,0,0,1.0,19.625
0,1,0,1.472782258,33.06666667
0,0,1,0.0,21.82352941
0,0,0,0.0,5.75
0,0,1,0.0,108.8
0,0,0,2.0,62.66666667
0,0,0,0.301112943,31.92105263
0,0,1,0.0,58.88888889
0,0,1,0.0,95.130263864
0,0,0,0.0,50.2
0,0,0,0.383263379,79.41666667
0,0,0,0.0,64.0
0,1,1,0.0,280.84027095
0,0,0,0.0,125.0
0,0,1,1.0,48.4
0,0,0,1.13197314,21.04347826
0,0,0,1.036170213,100.7142857
0,0,1,0.0,184.5
0,0,1,0.383263379,105.8888889
0,0,0,0.636324042,57.4
0,0,1,0.77712766,78.33333333
0,0,0,0.625428082,36.5
0,0,0,0.329945799,69.1875
0,0,1,1.0,105.775022127
0,0,0,0.324090506,112.7
0,0,0,0.0,50.6
0,0,0,0.234736504,311.2
0,1,1,1.074264706,16.58536585
0,0,1,0.0,931.0
0,0,1,0.313384813,155.4
0,0,0,0.482496697,25.23333333
0,0,1,2.0,120.6666667
0,1,1,0.0,153.546208911
0,0,0,0.68656015,266.0
0,1,1,0.0,148.223627073
0,0,0,2.0,40.0
0,0,0,0.527436823,277.0
0,0,0,1.340366972,30.27777778
0,1,1,1.0,127.428204568
0,0,0,0.624893071,584.5
0,0,0,0.328167116,139.125
0,1,1,1.567596567,77.66666667
0,0,0,0.675763182,83.15384615
0,0,0,1.0,10.823877322
0,0,0,0.0,65.0
0,0,0,1.0,32.5
0,1,1,0.0,106.5
0,0,1,5.465087282,9.547619048
0,0,1,0.204507279,94.0
0,0,1,0.580222399,40.61290323
0,0,1,0.0,51.0
0,1,0,0.151242236,58.90243902
0,0,0,1.702797203,26.8125
0,0,1,1.912303665,54.57142857
0,0,0,0.0,62.0
0,0,1,0.974,25.0
0,0,1,0.0,77.6
0,0,0,0.830113636,58.66666667
0,0,1,0.392741935,66.42857143
0,0,1,0.56627907,24.80769231
0,0,0,0.380072841,96.1
0,0,1,3.0,21.27272727
0,0,1,0.338194444,49.09090909
0,0,1,0.0,38.14285714
0,0,0,0.414585698,220.25
0,0,0,0.310586735,235.2
0,0,0,2.0,20.75
0,0,0,0.0,181.11879442
0,1,0,0.239980289,152.2
0,0,0,0.0,205.644733834
0,1,1,0.468269231,111.4285714
0,0,0,2.0,9.642857143
0,0,0,2.0,91.33333333
0,0,0,3.0,21.33333333
0,0,1,0.996589359,146.6
0,0,0,0.0,60.0
0,0,0,0.0,44.087585151
0,0,1,0.310851064,391.6666667
0,0,0,1.048564593,87.08333333
0,0,0,0.0,24.13333333
0,0,1,0.68271028,59.44444444
0,0,0,0.553409091,82.5
0,1,1,1.439881735,27.17857143
0,0,1,0.854385965,57.0
0,0,1,0.250514403,364.5
0,0,1,1.0,38.44444444
0,0,0,0.255062849,71.6
0,0,0,2.036710037,9.438596491
0,0,0,0.0,110.6666667
0,0,0,0.342957746,152.1428571
0,0,0,0.0,24.15151515
0,0,1,0.992527174,368.0
0,0,1,0.0,39.86956522
0,0,1,0.932950192,391.5
0,0,1,0.0,235.5
0,0,1,7.0,8.742857143
0,0,1,6.393873085,8.960784314
0,0,0,1.574353448,58.0
0,1,0,0.678903346,119.5555556
0,0,1,0.391059957,186.8
0,0,0,1.0,16.6
0,0,0,1.0,2.625
0,0,0,0.0,257.0
0,0,0,0.0,64.0
0,0,0,2.0,34.66666667
0,0,1,0.0,43.75
0,0,1,1.927440633,75.8
0,0,0,0.920025189,275.68616337
0,0,1,0.0,109.645309074
0,1,0,0.292433947,178.4285714
0,0,0,0.757780083,48.2
0,0,0,0.946243523,193.0
0,1,1,0.0,24.05555556
0,0,0,0.0,120.6
0,0,1,0.0,904.5
0,0,1,0.243175766,166.8888889
0,0,1,0.83295325,60.48275862
0,0,1,0.0,265.403596665
0,1,0,0.981854839,21.88235294
0,0,0,0.782119914,311.3333333
0,0,0,0.597790507,203.6666667
0,0,1,0.836769759,97.0
0,0,0,1.463927856,166.3333333
0,1,1,3.0,61.0
0,0,0,0.0,49.9
0,0,1,0.0,119.917826581
0,0,1,0.570703125,91.42857143
0,1,0,0.0,94.25
0,0,0,0.371189024,218.6666667
0,0,0,1.367977528,38.14285714
0,0,1,0.464694656,98.25
0,0,1,0.872759857,119.5714286
0,0,0,0.619067797,45.38461538
0,0,0,2.0,30.9
0,1,0,0.0,57.5
0,1,1,3.0,22.71428571
0,0,0,2.23622449,81.66666667
0,0,1,0.817114094,149.0
0,0,0,0.359144543,508.5
0,0,0,1.854060914,70.35714286
0,0,1,1.21345515,50.16666667
0,0,0,2.781091371,4.746987952
0,0,0,1.0,12.46153846
0,0,1,1.974324324,185.0
0,0,0,0.824492099,443.0
0,0,1,0.342475387,112.2631579
0,0,0,3.0,63.0
0,0,1,0.210883372,69.28
0,1,0,0.75,60.875
0,0,0,4.0,84.33333333
0,0,1,1.364570361,89.22222222
0,0,1,0.94379845,77.4
0,0,0,1.129057187,215.6666667
0,1,1,0.820786517,13.08823529
0,0,1,0.0,65.77777778
0,0,0,0.462341772,60.76923077
0,1,0,1.242346939,39.2
0,1,1,0.0,53.85714286
0,0,0,0.1875,389.6
0,0,1,1.191680261,47.15384615
0,1,1,1.0,22.57142857
0,0,0,0.0,82.75
0,0,1,2.0,92.0
0,0,1,0.0,106.0
0,0,1,0.706479691,33.305542024
0,0,0,0.0,182.0
0,0,1,0.857394366,71.0
0,0,1,0.714774951,18.92592593
0,0,1,1.418446602,128.75
0,1,0,1.0,20.53333333
0,1,1,0.0,122.6666667
0,0,1,0.0,149.0
0,0,0,0.757780083,72.3
0,0,1,1.761655949,36.58823529
0,0,1,0.47849345,286.25
0,0,0,1.588043478,36.300598063
0,0,1,0.0,358.0
0,0,0,2.081196581,78.0
0,0,1,0.285128806,427.0
0,0,1,0.0,15.6
0,0,1,0.303868552,300.5
0,0,1,0.0,54.71428571
0,0,1,2.034818942,17.51219512
0,0,0,0.311115843,391.3333333
0,0,0,0.572492163,53.16666667
0,0,1,0.593902439,51.25
0,0,1,0.0,36.71428571
0,0,0,0.483774834,94.375
0,1,1,1.0,6.071428571
0,0,1,0.787176724,35.69230769
0,0,1,0.280099693,186.2857143
0,0,1,0.0,234.4
0,0,0,1.386148008,58.55555556
0,0,1,0.863475177,68.22580645
0,1,0,0.399617068,114.25
0,0,1,0.65048976,561.5
0,1,1,1.277097902,63.55555556
0,1,1,0.867577197,56.13333333
0,1,1,1.0,12.789184672
0,0,1,0.0,68.9
0,1,1,0.272982063,44.6
0,0,1,0.473530683,22.91089109
0,0,1,0.420310702,434.5
0,0,1,2.0,77.0
0,0,0,0.315142364,165.5714286
0,0,0,0.0,42.41176471
0,0,0,0.483774834,27.96296296
0,0,1,1.605494505,91.0
0,0,0,1.860356537,31.0
0,0,0,0.0,53.66666667
0,0,0,1.458083832,83.5
0,1,0,0.0,43.405976811
0,0,1,1.0,49.66666667
0,0,1,0.0,162.75
0,1,1,0.726624668,44.35294118
0,0,0,0.628657487,290.5
0,1,0,1.0,45.42857143
0,0,0,1.0,89.0
0,0,1,3.0,16.875
0,0,1,0.654569892,279.0
0,0,0,0.951791531,47.96875
0,0,1,0.861438679,141.3333333
0,0,0,0.511554622,34.0
0,1,1,0.0,982.0
0,0,1,2.447236181,149.25
0,0,0,0.585336538,208.0
0,0,0,0.0,18.41973331
0,0,1,1.922368421,31.66666667
0,0,1,1.292920354,188.3333333
0,1,0,0.193766578,55.44117647
0,0,0,0.974,75.0
0,0,1,0.0,206.8
0,0,0,0.747697032,244.25
0,0,1,2.685661765,81.6
0,1,1,0.202354571,90.25
0,0,0,0.0,53.8
0,0,1,0.570703125,72.279524078
0,0,1,0.370436105,25.28205128
0,0,0,1.704121306,128.6
0,0,1,0.0,27.17647059
0,0,0,0.619067797,47.2
0,0,0,0.598770492,50.83333333
0,0,0,2.0,117.6666667
0,0,0,0.426693925,77.81818182
0,0,1,0.0,24.0
0,0,1,0.736391129,99.2
0,1,1,1.0,157.0
0,0,1,0.0,61.66666667
0,0,1,1.634228188,31.92857143
0,1,1,0.0,146.9
0,1,0,0.237947883,61.4
0,0,1,0.42495637,286.5
0,0,0,0.75464876,71.7037037
0,0,0,0.841589862,7.355932203
0,0,1,0.946243523,38.6
0,0,0,0.0,23.61111111
0,0,1,0.0,73.625
0,0,0,2.0,68.0
0,0,1,0.0,41.52631579
0,1,1,0.869642857,70.0
0,0,1,0.0,112.0
0,0,1,1.201480263,76.0
0,0,1,0.983176312,92.875
0,0,1,0.0,27.02222222
0,0,0,1.756009615,26.83870968
0,0,1,0.304628857,109.0
0,0,1,0.0,35.0
0,0,0,0.651069519,70.125
0,0,1,0.261453114,232.8333333
0,0,1,0.0,72.2
0,0,0,0.0,268.0
0,0,0,0.844508671,24.71428571
0,0,1,0.226441414,30.037095382
0,0,0,0.888686131,16.44
0,1,1,0.667326431,102.625
0,0,0,0.373848516,244.25
0,0,0,0.984501348,185.5
0,1,1,1.0,230.828268031
0,0,1,0.334478022,273.0
0,0,0,1.207438017,55.0
0,0,1,0.989837398,140.385001176
0,0,0,1.0,46.0
0,0,0,0.428194607,10.93589744
0,0,1,1.0,92.709881931
0,0,1,1.0,9.65
0,0,0,0.253294036,28.257811935
0,0,0,1.017409471,17.37096774
0,1,0,0.816018767,39.96428571
0,0,0,0.0,20.08333333
0,0,1,4.317375887,38.45454545
0,0,0,1.0,6.125
0,0,0,1.123846154,50.0
0,0,1,1.125577812,49.92307692
0,0,1,0.891941392,81.9
0,0,1,0.58160828,125.6
0,0,1,0.443803159,82.3
0,0,0,0.603719008,16.35135135
0,0,1,0.0,106.0
0,0,1,0.736391129,62.0
0,0,0,0.186447167,653.0
0,1,1,0.636324042,143.5
0,0,1,0.0,277.75
0,0,1,0.68313591,178.2222222
0,0,1,0.521785714,37.83783784
0,0,0,1.854060914,24.625
0,0,1,0.0,35.0
0,0,0,0.0,64.57142857
0,0,0,1.162291169,32.23076923
0,0,1,0.371189024,196.8
0,1,0,0.0,67.83333333
0,0,0,2.0,15.46153846
0,0,1,0.0,24.84615385
0,0,1,1.637892377,55.75
0,0,0,1.665273556,29.90909091
0,0,0,0.527056277,115.5
0,0,0,1.0,11.88235294
0,1,0,1.0,36.3
0,0,1,2.371753247,44.0
0,1,0,2.0,7.647058824
0,0,0,0.0,132.5
0,0,1,1.0,11.44444444
0,0,0,2.0,21.7
0,1,1,0.0,60.5
0,0,1,0.491588156,32.30434783
0,0,1,0.0,583.0
0,0,0,2.0,16.14285714
0,0,1,0.0,120.6666667
0,1,1,2.0,44.25
0,0,1,0.0,41.14285714
0,0,1,0.0,432.0
0,0,1,0.372324159,65.4
0,0,0,0.864156151,66.73684211
0,0,0,0.431737589,52.875
0,0,0,0.860424028,99.88235294
0,0,0,0.301112943,44.109925584
0,0,1,0.0,8.5
0,1,1,1.605494505,113.75
0,1,1,1.0,166.5
0,0,0,0.256315789,118.75
0,0,1,0.970119522,376.5
0,1,1,0.0,52.0
0,1,0,2.0,37.25
0,0,0,1.446534653,25.25
0,0,0,1.877892031,20.47368421
0,0,1,1.227731092,49.58333333
0,0,0,0.77056962,237.0
0,0,0,0.0,121.1428571
0,0,0,0.0,143.8
0,0,0,0.989837398,92.25
0,0,1,0.670183486,272.5
0,0,0,2.594105114,20.11428571
0,0,0,0.328757876,111.1
0,1,1,1.0,40.764855043
0,0,1,1.049568966,69.6
0,0,0,0.855386417,16.42307692
0,1,0,2.476271186,62.413132185
0,0,1,1.0,96.66666667
0,0,0,0.948701299,770.0
0,0,0,1.922368421,126.6666667
0,0,0,0.156290116,19.475
0,1,1,0.0,17.4
0,0,1,0.421037464,96.38888889
0,0,0,2.0,54.66666667
0,0,0,1.487780041,49.1
0,0,1,2.0,58.206060412
0,1,1,1.0,18.35294118
0,1,1,0.0,93.0
0,0,1,1.0,64.0
0,0,0,1.979674797,73.8
0,0,1,0.0,34.63636364
0,0,0,1.0,40.0
0,0,1,0.253469813,480.3333333
0,0,1,0.0,181.0
0,1,1,0.353239845,114.8888889
0,0,1,3.486873508,139.6666667
0,1,1,4.0,11.84
0,1,1,0.0,24.318495433
0,0,1,1.030809031,96.63636364
0,0,1,2.0,83.66666667
0,0,1,0.832004556,54.875
0,0,0,2.0,58.5
0,1,0,0.818946188,334.5
0,0,1,1.007586207,181.25
0,0,0,1.0,15.5
0,0,1,0.239351245,80.760820857
0,0,1,0.0,52.25
0,0,1,0.783798283,87.876260786
0,0,1,0.501717033,69.33333333
0,1,0,0.616976351,45.53846154
0,0,0,0.0,230.1666667
0,0,1,0.0,129.7142857
0,0,0,0.369125821,141.3571429
0,0,1,2.0,6.217391304
0,0,1,0.465286624,112.1428571
0,0,1,0.0,40.18518519
0,0,0,0.0,32.0
0,0,0,6.116626794,13.0625
0,0,0,1.0,18.2
0,0,1,0.919253356,99.33333333
0,1,0,0.0,29.5
0,0,1,0.339767442,59.72222222
0,0,1,0.225046211,541.0
0,0,0,0.210397465,115.7333333
0,0,1,0.648468708,39.52631579
0,0,1,1.0,66.2
0,0,0,0.525539568,115.8333333
0,0,1,1.0,15.66666667
0,1,0,0.0,114.5
0,0,0,2.0,7.769230769
0,1,0,2.0,9.166666667
0,1,1,0.37732438,484.0
0,0,1,1.0,321.729916243
0,0,0,0.338194444,135.0
0,1,0,0.0,69.8
0,0,0,2.0,20.5
0,0,1,1.0,64.8
0,0,1,0.0,84.75
0,0,0,0.0,39.6
0,0,0,0.0,32.33333333
0,0,1,1.488790761,105.1428571
