Gender,Race,Age_at_Release,Residence_PUMA,Gang_Affiliated,Supervision_Risk_Score_First,Supervision_Level_First,Education_Level,Dependents,Prison_Offense,Prison_Years,Prior_Arrest_Episodes_Felony,Prior_Arrest_Episodes_Misd,Prior_Arrest_Episodes_Violent,Prior_Arrest_Episodes_Property,Prior_Arrest_Episodes_Drug,Prior_Arrest_Episodes_PPViolationCharges,Prior_Arrest_Episodes_DVCharges,Prior_Arrest_Episodes_GunCharges,Prior_Conviction_Episodes_Felony,Prior_Conviction_Episodes_Misd,Prior_Conviction_Episodes_Viol,Prior_Conviction_Episodes_Prop,Prior_Conviction_Episodes_Drug,Prior_Conviction_Episodes_PPViolationCharges,Prior_Conviction_Episodes_DomesticViolenceCharges,Prior_Conviction_Episodes_GunCharges,Prior_Revocations_Parole,Prior_Revocations_Probation,Condition_MH_SA,Condition_Cog_Ed,Condition_Other,Violations_ElectronicMonitoring,Violations_Instruction,Violations_FailToReport,Violations_MoveWithoutPermission,Delinquency_Reports,Program_Attendances,Program_UnexcusedAbsences,Residence_Changes,Avg_Days_per_DrugTest,DrugTests_THC_Positive,DrugTests_Cocaine_Positive,DrugTests_Meth_Positive,DrugTests_Other_Positive,Percent_Days_Employed,Jobs_Per_Year,Employment_Exempt,Recidivism_Within_3years,Recidivism_Arrest_Year1,Recidivism_Arrest_Year2,Recidivism_Arrest_Year3,Avg_Days_per_DrugTest_Missing,DrugTests_THC_Positive_Missing,Prison_Offense_Missing
M,BLACK,33-37,3,True,6.0,High,Less than HS diploma,0,Property,Greater than 2 to 3 years,10 or more,6 or more,0,5 or more,0,5 or more,False,False,2,4 or more,False,3 or more,0,True,False,False,False,False,True,True,False,False,True,False,True,3,0,0,1,71.06666667,0.06666667,0.0,0.0,0.0,0.0,0.0,False,True,False,False,True,0,0,0
M,BLACK,33-37,12,False,3.0,Standard,High School Diploma,3 or more,Violent/Non-Sex,Less than 1 year,8,6 or more,2,2,1,5 or more,False,False,3 or more,4 or more,True,2,1,True,False,False,False,False,True,False,True,False,False,False,False,0,4,1,0,13.16666667,0.0,0.0,0.0,0.0,1.0,1.0,False,True,False,False,True,0,0,0
F,BLACK,38-42,2,False,2.0,Standard,At least some college,1,Property,1-2 years,2,0,0,1,0,0,False,False,0,0,False,0,0,False,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,83.799515302,0.050015759,2.283e-05,0.001810716,0.001460776,0.981412639,1.0,False,False,False,False,False,1,1,0
M,WHITE,33-37,14,False,10.0,Specialized,High School Diploma,1,Property,More than 3 years,10 or more,6 or more,1,5 or more,1,5 or more,False,False,3 or more,4 or more,True,3 or more,0,True,False,False,True,False,True,True,True,False,False,False,False,2,4,3 or more,1,16.28571429,0.142857149,0.0,0.285714298,0.0,1.0,1.0,False,True,True,False,False,0,0,0
M,BLACK,48 or older,3,False,3.0,Specialized,High School Diploma,3 or more,Violent/Non-Sex,1-2 years,9,4,3 or more,0,0,4,False,True,2,1,True,0,0,True,True,False,False,True,False,True,True,False,False,False,False,0,0,0,0,136.5,0.0,0.0,0.0,0.0,0.886446886,2.0,False,False,False,False,False,0,0,0
M,WHITE,33-37,16,False,9.0,Specialized,High School Diploma,3 or more,Violent/Non-Sex,Less than 1 year,10 or more,6 or more,2,4,4,5 or more,False,True,3 or more,4 or more,True,1,2 or more,True,False,True,False,False,True,True,True,False,False,True,False,4 or more,10 or more,3 or more,0,145.5,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,False,False,0,0,0
M,BLACK,38-42,24,False,4.0,Specialized,Less than HS diploma,3 or more,Violent/Non-Sex,Greater than 2 to 3 years,5,4,1,1,0,3,False,False,2,2,True,0,0,True,False,False,False,False,False,False,True,True,False,False,False,0,4,0,0,25.77272727,0.0,0.0,0.0,0.0,0.50617284,1.288359788,False,True,False,False,True,0,0,0
M,WHITE,38-42,12,False,4.0,Standard,High School Diploma,2,Drug,Less than 1 year,4,6 or more,0,2,3,4,False,False,2,4 or more,False,1,2 or more,True,False,False,False,False,True,False,False,False,False,False,False,4 or more,6,0,0,16.86,0.059999999,0.0,0.039999999,0.039999999,0.985765125,0.433274021,False,False,False,False,False,0,0,0
M,WHITE,38-42,4,False,3.0,Specialized,High School Diploma,1,Violent/Sex,1-2 years,3,0,0,1,0,0,False,False,0,0,False,0,0,False,False,False,False,False,False,True,True,True,False,False,False,0,10 or more,0,0,97.8,0.0,0.0,0.0,0.0,1.0,1.493865031,False,False,False,False,False,0,0,0
M,WHITE,33-37,16,False,4.0,Standard,High School Diploma,3 or more,Other,Less than 1 year,6,2,0,2,2,1,False,True,3 or more,1,False,2,1,True,False,True,False,False,True,False,False,False,False,False,False,0,6,0,3 or more,109.3333333,0.0,0.0,0.0,0.0,0.734756098,2.0,False,True,True,False,False,0,0,0
M,BLACK,38-42,17,False,9.0,Specialized,Less than HS diploma,0,Drug,Greater than 2 to 3 years,7,6 or more,1,3,3,0,False,False,3 or more,1,False,0,2 or more,False,False,False,True,False,False,False,False,False,False,False,False,0,3,0,3 or more,50.31578947,0.0,0.0,0.0,0.0,1.0,2.292364017,False,False,False,False,False,0,0,0
F,WHITE,43-47,9,False,7.0,High,At least some college,0,Property,1-2 years,10 or more,6 or more,0,5 or more,5 or more,5 or more,False,True,3 or more,4 or more,False,3 or more,2 or more,True,False,False,False,False,True,True,False,False,True,False,False,4 or more,10 or more,0,3 or more,33.84848485,0.0,0.0,0.030303031,0.0,0.064458371,0.326991943,False,False,False,False,False,0,0,0
M,WHITE,33-37,14,False,9.0,Specialized,At least some college,0,Drug,Less than 1 year,10 or more,6 or more,1,5 or more,4,5 or more,False,False,3 or more,4 or more,False,3 or more,2 or more,True,False,False,False,False,True,True,True,False,False,True,True,2,0,0,1,58.670020849,0.15831176,0.056414343,0.085713644,0.212919057,0.0,0.0,False,True,True,False,False,1,1,0
M,WHITE,18-22,21,False,8.0,Specialized,At least some college,3 or more,Other,1-2 years,6,3,1,1,1,4,True,False,3 or more,2,True,1,1,True,True,False,False,False,True,True,False,False,True,True,True,4 or more,10 or more,2,3 or more,15.87878788,0.060606062,0.0,0.030303031,0.030303031,0.286259542,2.091125954,True,True,False,True,False,0,0,0
M,BLACK,38-42,3,False,5.0,Specialized,High School Diploma,3 or more,Property,1-2 years,8,6 or more,0,5 or more,1,5 or more,False,False,3 or more,4 or more,False,3 or more,1,True,False,False,False,False,False,False,True,False,False,False,False,0,10 or more,1,0,36.89655172,0.0,0.0,0.0,0.0,0.945794393,0.34135514,False,False,False,False,False,0,0,0
M,BLACK,23-27,4,False,8.0,High,Less than HS diploma,3 or more,Drug,Greater than 2 to 3 years,4,2,2,0,3,2,True,False,1,3,True,0,1,False,True,False,False,False,True,True,False,False,True,False,False,4 or more,8,1,3 or more,858.0,0.5,0.0,0.0,0.0,0.0,0.0,False,True,True,False,False,0,0,1
M,WHITE,33-37,17,False,7.0,High,Less than HS diploma,1,Property,1-2 years,4,5,0,1,0,5 or more,False,True,2,4 or more,True,2,0,True,False,False,False,False,True,False,True,False,False,False,False,0,0,0,2,29.142946218,0.114015278,0.000145441,0.001500487,0.01263672,0.816425121,2.0,False,True,False,True,False,1,1,0
M,BLACK,38-42,6,False,5.0,Standard,At least some college,0,Violent/Non-Sex,Greater than 2 to 3 years,10 or more,6 or more,3 or more,5 or more,1,5 or more,True,False,1,4 or more,True,1,0,True,True,False,False,False,False,True,True,False,False,False,False,4 or more,0,0,2,115.7142857,0.142857149,0.0,0.0,0.0,0.0,0.0,False,True,False,False,True,0,0,0
M,BLACK,33-37,3,False,7.0,High,High School Diploma,3 or more,Drug,1-2 years,6,6 or more,0,1,5 or more,4,False,False,3 or more,0,False,1,2 or more,False,False,False,False,False,True,True,False,False,False,False,False,0,6,1,0,532.0,0.0,0.0,0.0,0.0,0.211466165,0.343280075,False,True,True,False,False,0,0,1
M,WHITE,43-47,3,False,6.0,High,Less than HS diploma,3 or more,Other,1-2 years,6,6 or more,0,0,5 or more,3,False,True,3 or more,4 or more,False,0,2 or more,True,False,False,True,False,True,False,False,False,False,False,False,0,10 or more,1,0,12.21621622,0.0,0.0,0.081081077,0.0,0.0,0.0,False,True,False,True,False,0,0,1
M,BLACK,33-37,5,False,9.0,Specialized,Less than HS diploma,1,Property,Greater than 2 to 3 years,7,5,1,2,5 or more,3,False,False,2,4 or more,False,1,2 or more,False,False,False,False,False,True,True,False,False,True,False,False,0,10 or more,3 or more,0,78.0,0.210526317,0.0,0.0,0.0,0.220647773,0.24645749,False,False,False,False,False,0,0,0
M,BLACK,43-47,5,False,3.0,Standard,High School Diploma,2,Property,Less than 1 year,10 or more,6 or more,2,5 or more,5 or more,5 or more,False,False,2,4 or more,False,2,1,True,False,False,False,False,True,False,False,False,False,True,False,0,0,3 or more,0,135.6666667,0.0,0.0,0.0,0.0,0.314496314,0.897420147,False,False,False,False,False,0,0,0
F,WHITE,43-47,6,False,7.0,Standard,High School Diploma,2,Other,Greater than 2 to 3 years,10 or more,6 or more,3 or more,5 or more,1,5 or more,True,False,2,2,False,2,1,True,False,True,False,True,True,True,False,False,False,False,False,0,1,0,1,33.2,0.0,0.0,0.050000001,0.100000001,0.954819277,0.550075301,False,False,False,False,False,0,0,0
F,WHITE,48 or older,19,True,7.0,High,High School Diploma,0,Property,1-2 years,4,3,0,2,1,2,False,False,3 or more,1,False,2,1,False,False,False,False,False,True,True,False,False,True,False,True,4 or more,9,0,0,159.875,0.0,0.125,0.0,0.0,0.254104769,0.285574668,False,True,True,False,False,0,0,0
M,BLACK,33-37,9,True,10.0,Specialized,At least some college,0,Property,1-2 years,10 or more,6 or more,0,5 or more,4,5 or more,False,False,3 or more,4 or more,False,3 or more,2 or more,True,False,False,False,False,True,False,False,False,True,False,False,0,0,0,1,22.5,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,False,False,0,0,0
M,BLACK,28-32,20,False,7.0,High,Less than HS diploma,3 or more,Drug,1-2 years,4,5,0,2,1,2,True,False,2,4 or more,True,2,0,True,False,False,False,False,True,True,False,False,False,False,False,2,0,0,3 or more,89.77777778,0.0,0.0,0.0,0.0,1.0,1.808168317,False,False,False,False,False,0,0,0
M,BLACK,33-37,3,False,6.0,High,High School Diploma,3 or more,Property,More than 3 years,10 or more,6 or more,3 or more,3,4,5 or more,False,False,1,4 or more,False,1,2 or more,True,False,False,False,False,False,False,True,False,True,False,True,4 or more,10 or more,3 or more,3 or more,344.8571429,0.571428597,0.0,0.0,0.0,0.186412593,0.453914664,False,False,False,False,False,0,0,1
F,WHITE,48 or older,25,False,3.0,Standard,Less than HS diploma,0,Drug,1-2 years,7,5,0,4,1,3,False,False,3 or more,4 or more,False,3 or more,1,True,False,False,False,False,True,True,False,False,False,False,False,0,0,0,3 or more,78.28571429,0.0,0.0,0.0,0.0,0.708029197,0.999771898,False,True,False,False,True,0,0,1
M,WHITE,33-37,14,False,8.0,Specialized,Less than HS diploma,0,Other,Greater than 2 to 3 years,10 or more,6 or more,1,5 or more,0,5 or more,False,True,2,3,False,2,0,True,False,False,False,True,False,False,True,False,True,False,True,4 or more,10 or more,0,1,68.66666667,0.0,0.0,0.0,0.0,0.964805825,0.221632282,False,False,False,False,False,0,0,0
M,BLACK,33-37,6,False,10.0,Standard,Less than HS diploma,3 or more,Property,1-2 years,8,1,0,5 or more,1,1,False,False,3 or more,0,False,3 or more,0,False,False,False,False,False,True,True,False,False,False,False,False,0,0,0,0,120.6,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,0,0,0
M,WHITE,38-42,12,False,7.0,High,High School Diploma,3 or more,Property,Less than 1 year,10 or more,6 or more,3 or more,5 or more,4,5 or more,False,True,3 or more,4 or more,True,3 or more,2 or more,True,False,True,False,False,True,False,True,False,False,False,False,0,1,3 or more,0,70.5,0.25,0.0,0.0,0.0,0.943262411,1.0,False,True,True,False,False,0,0,0
M,BLACK,43-47,4,False,5.0,Standard,High School Diploma,0,Violent/Non-Sex,More than 3 years,6,6 or more,3 or more,2,4,2,True,True,3 or more,4 or more,True,0,2 or more,True,False,True,True,False,True,False,False,False,False,False,False,0,0,0,0,398.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,False,False,0,0,1
M,WHITE,43-47,6,False,10.0,Specialized,At least some college,3 or more,Violent/Non-Sex,More than 3 years,10 or more,6 or more,0,5 or more,1,4,False,False,3 or more,2,False,3 or more,0,False,False,False,False,False,False,False,False,False,False,False,False,0,6,0,1,34.15789474,0.0,0.052631579,0.052631579,0.0,0.25577812,0.562788906,False,False,False,False,False,0,0,1
F,WHITE,43-47,9,False,9.0,Specialized,High School Diploma,2,Property,1-2 years,10 or more,3,1,5 or more,5 or more,3,False,False,3 or more,2,False,3 or more,2 or more,False,False,False,False,False,True,True,False,False,False,True,False,2,10 or more,0,0,95.75,0.0,0.0,0.0,0.0,0.381201044,0.953655352,False,True,False,True,False,0,0,0
M,BLACK,33-37,5,False,9.0,Specialized,Less than HS diploma,1,Property,More than 3 years,8,5,1,2,4,5 or more,False,False,3 or more,4 or more,False,2,2 or more,True,False,False,True,False,True,False,False,False,False,False,True,3,10 or more,3 or more,0,55.54545455,0.121212125,0.0,0.0,0.0,0.605564648,0.597790507,False,False,False,False,False,0,0,0
M,BLACK,33-37,12,False,5.0,Standard,High School Diploma,2,Property,1-2 years,6,4,1,2,2,1,False,False,1,2,False,1,1,True,False,False,False,False,True,True,True,False,False,False,True,0,1,0,1,33.47368421,0.0,0.0,0.0,0.0,0.878930818,0.574292453,False,False,False,False,False,0,0,0
M,BLACK,33-37,12,False,5.0,Standard,High School Diploma,0,Violent/Non-Sex,1-2 years,10 or more,6 or more,3 or more,5 or more,2,5 or more,True,False,3 or more,4 or more,True,3 or more,1,True,True,False,False,True,True,False,True,False,False,False,False,0,0,0,2,32.2,0.0,0.0,0.0,0.0,0.01242236,1.0,False,True,True,False,False,0,0,0
M,BLACK,33-37,3,False,1.0,Standard,High School Diploma,1,Property,Greater than 2 to 3 years,10 or more,1,3 or more,4,0,5 or more,False,False,3 or more,3,False,3 or more,0,True,False,False,False,False,True,True,False,False,False,False,False,0,0,3 or more,0,471.5,0.0,0.5,0.0,0.0,0.0,0.0,False,True,True,False,False,0,0,0
M,BLACK,38-42,3,False,7.0,High,High School Diploma,0,Drug,Greater than 2 to 3 years,10 or more,2,2,2,5 or more,5 or more,False,True,2,2,True,1,2 or more,True,False,False,False,False,True,False,False,False,False,False,False,0,4,0,1,69.3,0.0,0.0,0.0,0.0,0.227994228,0.527056277,False,False,False,False,False,0,0,0
M,WHITE,43-47,14,False,6.0,High,High School Diploma,0,Drug,1-2 years,9,6 or more,1,3,3,5 or more,False,False,2,4 or more,False,2,1,True,False,False,False,False,True,True,False,False,False,False,False,0,10 or more,0,0,37.25,0.0,0.0,0.0,0.0,1.0,1.634228188,False,True,False,False,True,0,0,0
M,WHITE,28-32,14,False,5.0,Standard,High School Diploma,0,Drug,Less than 1 year,7,6 or more,1,4,2,1,False,False,2,4 or more,False,2,2 or more,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,2,132.3333333,0.0,0.0,0.0,0.0,1.0,0.920025189,False,False,False,False,False,0,0,0
F,BLACK,33-37,3,False,7.0,High,High School Diploma,2,Violent/Non-Sex,More than 3 years,10 or more,6 or more,2,5 or more,1,5 or more,False,False,3 or more,2,True,3 or more,1,True,False,False,False,False,True,False,True,False,False,False,False,0,0,0,2,185.5,0.0,0.0,0.0,0.0,0.859838275,0.984501348,False,True,False,True,False,0,0,0
M,BLACK,33-37,4,False,6.0,High,High School Diploma,1,Drug,1-2 years,10 or more,6 or more,2,5 or more,2,5 or more,True,False,3 or more,4 or more,False,2,1,True,False,False,False,False,True,True,False,False,False,False,False,0,0,0,0,372.75,0.0,0.0,0.0,0.0,0.071763917,0.244969819,False,True,False,True,False,0,0,0
M,BLACK,43-47,3,False,1.0,High,High School Diploma,3 or more,Drug,1-2 years,7,6 or more,3 or more,0,4,4,False,True,1,1,False,0,2 or more,True,False,True,False,False,True,True,False,False,False,False,False,0,6,3 or more,0,33.04545455,0.045454547,0.0,0.0,0.0,0.894085282,1.004814305,False,False,False,False,False,0,0,0
M,WHITE,33-37,4,False,9.0,Standard,High School Diploma,1,Property,1-2 years,8,5,0,5 or more,2,3,False,False,2,2,False,3 or more,0,False,False,False,False,True,True,True,False,False,False,False,False,0,6,0,1,33.15,0.0,0.0,0.0,0.0,0.876319759,0.550904977,False,False,False,False,False,0,0,0
M,BLACK,38-42,3,False,5.0,Standard,Less than HS diploma,2,Drug,Less than 1 year,10 or more,6 or more,2,1,1,5 or more,False,True,0,3,True,0,0,True,False,True,False,True,True,False,False,False,False,False,False,0,0,0,1,25.6,0.0,0.0,0.0,0.0,0.2890625,0.951171875,False,True,False,False,True,0,0,0
