usage_hours,baseline_error,patch_v1,post_patch_error,patch_v2,failure,random_noise
4759,1,0,1,0,0,-1.7171984598926184
4101,0,0,0,0,0,0.7014717166517581
3604,0,0,1,0,1,0.08600439515999685
3583,1,0,1,0,1,0.3914695928703765
4662,1,0,1,1,1,1.7197575761510981
698,0,1,1,1,1,-0.6165880892105043
1091,1,1,0,0,1,1.2914092431291537
2032,1,1,0,0,0,-0.6066632439298463
2884,0,0,1,0,0,1.5652687425910667
3141,1,0,0,0,0,0.7505184841575534
166,0,0,1,0,1,-1.5071280229151514
3498,1,0,1,0,0,-0.41727869717562843
2850,1,0,0,0,1,1.915668058465522
569,1,1,0,1,1,1.7901918173786424
1824,0,0,0,0,0,0.6042213889881032
4085,0,0,1,0,0,0.35423473452920795
1731,1,0,1,1,1,0.23973467264144868
874,1,1,0,0,0,0.4370276569034517
3112,1,1,0,0,0,-0.1408004596415123
2603,1,1,0,0,1,1.2110192593742015
1586,1,0,1,0,0,0.577849864667919
4119,0,0,1,0,1,-0.9653552855356314
4327,0,0,0,0,1,0.6549917878621111
1029,0,1,1,1,0,0.16498418112966312
3112,1,1,0,0,1,-0.31246185117476094
1605,1,0,1,0,0,1.898526853356068
4829,1,0,1,0,0,0.10377052108075847
3044,0,0,1,0,1,-1.9568397314239163
2919,0,0,1,0,1,-0.24133787247326244
1284,0,0,0,1,0,0.993488469248925
388,1,0,1,0,1,-0.9264748798339616
1911,0,0,1,1,1,0.9595051706496425
627,0,0,0,0,0,-0.9976885963648495
1016,0,0,1,0,1,1.3366736637183028
1808,1,1,1,1,1,-0.5725668391542941
3674,0,0,0,0,0,-0.3517912881430155
3419,1,0,1,0,0,-0.42592479198066796
1506,1,0,1,0,0,0.5974526762167874
1341,1,1,1,1,1,1.844119551681124
3233,1,1,0,0,1,0.014833387964719556
898,0,1,0,1,0,-0.010904153149561769
1623,0,0,1,1,0,-0.5732685860392176
4207,1,0,1,0,0,-1.6273464734833762
2988,1,0,1,0,1,-0.47352305140364365
2790,1,1,1,0,0,-1.25900262293377
4191,1,0,1,1,0,-1.887315964318739
1341,0,0,1,0,0,-0.07699631295195809
790,0,0,1,0,0,-0.5425952083745458
627,1,0,1,1,1,1.3765724333235618
1595,0,0,0,1,1,-0.8556022218077409
3925,0,0,0,0,0,0.6703674058735188
2993,1,0,0,0,0,0.6508226524187892
992,0,0,0,1,1,1.337133095199581
486,0,0,1,0,0,-0.1842257930271155
1349,1,1,0,1,1,1.3190424333612591
2628,1,0,1,1,1,0.560946698100082
4603,0,0,1,0,0,1.1392846302228583
3628,1,0,1,1,1,2.394156742500977
997,1,1,1,1,1,-0.12322341292873161
810,0,0,1,0,0,0.17080952381800057
3795,0,0,0,1,1,-0.3618160890046923
2786,0,0,0,1,1,1.5423096376659569
4612,1,0,0,0,0,2.60465277290184
515,0,1,0,0,1,0.7341651020537682
1571,1,0,0,0,0,-1.610081244778869
4280,1,0,1,0,0,-0.8831099454867417
4362,1,0,1,0,0,1.1595898981434758
2531,1,1,0,0,0,-1.144356366466955
2615,1,0,0,0,0,-0.6005326315529376
1195,0,1,0,0,1,-0.635607649196007
909,0,0,0,0,1,-0.07715044037892214
3144,1,1,1,0,0,0.256710169352931
1092,0,0,1,0,0,-1.8894314438066129
1381,0,0,0,1,1,-1.5274387469110193
4470,1,0,1,0,1,-1.50357314958227
1873,1,0,0,0,1,-1.3840276359139283
3661,0,1,0,0,0,0.016006873467947786
3916,1,0,1,0,0,0.19457805876693118
1856,0,1,0,1,1,1.013184231527296
2473,1,0,0,0,0,0.5549294294158178
2676,0,0,1,0,0,-0.5822573797450439
991,1,1,0,1,0,0.22992827842078542
4284,0,0,0,0,1,1.0542281755632015
807,1,0,0,0,0,-0.22738268451507773
2497,0,0,1,1,1,-0.31041863016097065
4582,0,0,1,0,0,-0.944957284981406
2234,0,1,1,0,0,-0.8048258150850363
2454,0,0,1,0,0,0.6855742707408754
4635,0,0,1,1,1,-0.003824490752070924
1076,0,1,0,1,1,1.9583910176728396
834,1,1,0,1,0,-0.676707212272353
2568,1,0,1,1,1,0.7613731656581043
2640,0,0,1,0,0,0.38640915087217315
732,1,1,1,1,1,-0.0893744213740547
4368,0,0,1,0,0,-0.4355020228511757
4199,1,0,1,1,1,0.6001018716780476
3001,0,1,0,0,1,0.5426737853575486
1763,1,0,1,0,0,0.20198845902709006
2115,0,0,0,0,1,0.42563440377966866
3281,1,0,0,0,1,0.03648676634119924
4163,0,0,1,0,0,-1.6411807388674462
2730,0,0,0,0,0,0.08437350276606223
3972,0,0,0,0,0,-0.2685504093247245
1154,1,0,0,0,1,1.9462435173995098
480,1,1,0,1,1,0.6333856337635969
3182,1,0,0,0,0,0.20150912819909253
2491,1,0,1,0,1,0.46283007322666797
1692,1,0,1,1,1,-1.023118129611695
4361,1,0,1,0,0,-0.6097686288896754
2847,0,1,0,0,0,-0.3347889242815569
2489,1,0,0,0,1,0.3884225036407539
3653,0,1,0,0,1,-0.4347522872582967
3127,1,0,1,0,1,-0.501438536269412
1307,1,1,0,0,1,-1.067863668700836
3953,1,0,1,0,1,0.025121088551268475
644,1,1,0,1,1,0.16556619291438956
3181,1,0,1,0,1,0.4285232957470924
3763,1,0,0,1,1,-0.6960162205519673
2339,0,0,1,0,0,0.3707757516194529
2467,0,0,0,0,0,-1.0402743767100244
3873,1,0,1,0,0,-0.21906379449457397
2727,1,1,0,1,1,0.30157213608546424
4031,0,0,0,0,0,-0.25871222738069843
2574,0,0,1,1,1,-1.5618444500152104
3230,0,0,1,0,0,-1.4426325942314986
3607,0,0,1,1,0,0.2208948680074036
196,1,1,0,1,1,0.5796513567484451
3958,1,0,1,0,0,0.3393167887920551
2808,1,0,0,0,0,0.603742209237833
3436,1,0,1,1,1,-0.2805424858697825
556,1,1,0,0,0,0.7384419109132485
4468,0,0,1,0,0,0.33606007948893707
3087,0,0,1,0,1,-0.6394567651047393
4188,0,0,1,0,0,0.5144537113936178
3984,0,0,0,0,0,0.296050204134496
1131,0,0,0,0,0,1.6724940876075887
307,0,1,0,1,1,1.3793199534874916
2037,0,0,1,1,1,-0.09230354814611413
1246,0,0,0,1,1,-0.4176806022902694
4399,1,0,0,0,0,1.55911125308812
2664,0,0,1,0,1,0.5515395192551811
542,1,1,0,0,1,-0.1741477667687481
4884,0,0,0,0,0,-1.9890617568288131
932,1,1,0,0,1,-0.7554994483671061
1561,1,1,1,0,1,-0.8250280767696079
3616,1,0,0,0,0,-0.14638062668713506
1259,1,1,1,1,1,0.6185183367546504
486,0,1,0,1,0,0.771253224322237
2141,0,0,1,1,1,1.5000356852893098
2653,0,0,1,0,0,0.9313958376702176
1818,0,0,0,0,1,-1.3004679148209843
4875,0,0,1,0,0,1.0300075795404255
4150,1,0,0,0,1,1.7333247052733598
3509,1,0,1,1,1,1.6838080770206019
789,1,0,1,1,1,-1.2128634493082435
1269,1,1,0,1,1,-0.19109660197844597
1052,1,0,1,1,0,0.9609737495699725
4979,1,1,1,0,1,-1.1583430335621292
4690,1,0,0,0,0,-1.7249149839191495
3596,0,0,1,1,1,0.31395568677062313
4017,0,0,1,0,0,-0.6755914271067027
4942,1,0,1,0,0,-1.6314510670146167
2584,1,0,1,0,0,1.2295204427525455
1954,1,1,1,1,1,0.16431265811798265
3539,0,0,0,1,1,-0.52069233454246
3331,1,0,0,0,0,-0.9636840841924128
2697,0,1,1,0,0,0.17456614834336054
4083,0,0,0,0,1,0.5154171989255275
2291,0,0,0,0,1,0.3259326728034488
2735,0,0,1,1,1,-1.5189133212688817
756,0,0,1,0,1,0.47685206423703563
3912,0,0,0,1,1,0.6944495093469978
3440,0,0,1,0,1,-0.34340407070233453
4011,0,0,1,0,0,1.039610381948918
1896,1,1,1,1,1,-0.8519173929423851
4463,1,0,1,0,1,1.2905847860310025
1862,0,0,0,0,0,0.13231568443064426
4572,0,0,1,0,1,-0.49616947201655626
3385,1,0,0,0,1,-0.318448490330776
1685,1,1,0,0,1,0.9992848834299647
3663,0,0,1,0,0,0.2372423499153759
2540,1,0,0,1,1,0.6450673265075565
4684,1,0,1,0,0,1.0746693027254104
4917,0,1,0,0,1,-0.5259770659333179
3200,0,0,1,0,0,0.12729833607936272
3344,0,0,0,0,0,-0.22445596031698767
1140,1,1,0,1,1,1.0170579779563378
3227,0,0,1,0,0,-0.3824554186705598
2373,0,0,0,0,0,0.047831764361871386
3729,0,0,0,0,0,2.2957246011475325
2214,1,0,0,0,1,1.2851162742330777
1777,1,0,0,1,1,-1.0352281101954202
3194,1,0,0,0,1,0.901976107358018
1098,1,1,1,1,1,0.6887692883566401
2384,0,0,0,0,1,-1.1006363378348918
1689,1,1,0,0,1,-0.11005573578960627
1261,1,0,1,0,0,-0.9477030612172137
2620,0,0,0,0,0,-2.392601774519279
3955,1,0,0,0,1,-0.14597152454274917
4748,1,0,0,0,0,-0.5060901295071945
794,1,1,0,1,1,-1.1009023853196103
4512,0,0,0,0,0,-0.009586266672396059
4963,1,0,1,0,0,-2.1206124556587636
3898,1,0,1,0,0,0.0412749393430394
3783,0,0,0,0,0,0.015398121111137628
2071,0,0,0,0,0,0.6787395532205971
1603,0,1,0,1,0,-1.6031792358712083
3349,1,0,1,0,0,2.139424255858326
4318,1,0,1,0,0,1.755802225416881
3342,0,0,1,0,0,-0.7732147681658046
1968,0,0,0,0,1,1.4597388556671116
1771,0,1,0,0,0,0.857072112742525
1182,1,0,1,0,1,-0.4394251257863135
1828,0,1,0,0,0,-0.6068530058312642
3951,1,0,1,0,0,-0.5312245850786371
2242,1,0,0,0,1,2.8263688769693722
1248,1,1,0,1,1,1.3601194289114027
353,0,1,1,1,1,-0.20277289388253594
4202,0,0,1,0,1,-0.1164224000297803
3642,0,0,1,0,0,0.8474482106813118
2875,0,1,0,0,1,0.8036442484826389
4737,0,0,0,0,0,-0.9568761773823097
3433,1,0,1,1,0,0.29753863522024
4284,0,0,0,0,0,-0.5525435283433527
3379,0,0,0,0,0,0.15219978131607995
4408,0,0,0,0,0,-0.04801313314085139
2981,0,0,0,0,0,1.017644472243767
365,1,1,0,0,0,-0.2682769213244458
2440,0,0,0,0,0,0.11831748456087618
3248,0,0,1,1,1,-1.8780918338830004
3459,1,0,0,0,0,0.32365292915328225
1104,0,0,0,0,0,-0.7785217271009125
2194,0,1,0,0,0,-1.5171350298426214
4817,0,0,0,0,0,1.1291142275857367
3371,0,0,1,0,0,-0.04176936746597401
4622,0,0,0,0,1,-2.0771591197359816
309,0,0,1,0,1,-0.7836235620576951
987,1,1,0,1,1,0.005001751435203875
253,0,0,0,0,1,0.03474913982780608
3693,1,0,1,0,0,-0.49940568901083304
514,1,1,0,0,1,-3.3652959198326364
3524,1,1,1,0,0,-0.551912156493491
1384,0,0,0,0,0,1.0710333147226698
3248,0,0,1,1,1,1.4023944645124369
868,1,1,0,1,1,-0.607490963423599
1082,1,0,0,0,0,1.8833341096690048
3302,1,0,1,1,0,-1.6170110847481478
4774,0,0,0,0,0,-0.8100315186295582
3626,1,1,0,0,0,0.8914961237160686
2887,0,0,0,0,0,0.7340552050032695
2310,0,0,1,1,0,-0.009619078495352693
1138,0,0,0,0,1,-1.1191258120803118
4032,0,1,0,1,1,-1.1217980235976779
641,0,0,0,0,0,-0.7256837012582228
458,1,0,0,0,1,-1.0783413618200541
949,1,1,0,1,1,0.13070315059090312
4622,1,0,1,0,0,-0.09226735176747433
2644,0,0,1,1,1,-1.1613618309029177
4681,1,0,1,0,0,-0.35488286733386903
1931,0,0,1,1,1,-2.649436481308112
1572,0,0,0,0,1,0.33922047932507804
1536,0,0,0,0,1,0.7167256048805708
429,0,1,0,0,0,-0.9118101138069958
4454,0,0,1,0,0,-0.7863759768653558
4338,0,0,0,0,0,0.25788873796125356
4108,1,0,0,0,1,0.10626613916957081
4822,1,1,0,0,1,0.7731183560816816
1488,0,1,1,1,0,-0.776679670063621
4285,1,0,1,1,1,-0.660557337272237
819,1,1,0,1,0,-0.22069848345632212
3335,1,0,0,0,0,-1.0661221245453603
4676,1,1,1,0,1,-0.24247905415389318
2231,0,0,0,0,1,-1.0497731582606398
1200,1,0,1,1,1,0.41757021756736673
772,1,1,0,1,1,-0.9353059551804005
616,1,0,0,1,1,0.25289274616001933
2632,1,0,1,0,0,1.4566162378480376
3770,1,0,1,0,0,0.4282241767068445
881,1,0,1,0,0,0.1758860557608673
3623,0,0,1,0,0,-1.3636400082325943
3658,0,0,0,0,1,1.3890345328181057
2486,0,1,0,0,0,1.1157282220190543
4882,0,1,0,0,0,-0.15634526702178284
1689,0,1,0,0,0,-0.38411700589212594
1601,1,1,0,0,1,-0.8139801546851304
3894,1,0,1,0,0,1.7893769437158207
4418,1,1,1,0,0,0.7839645739162421
3180,1,0,0,0,0,-0.7584077913600672
1176,1,0,0,1,1,1.0992696504720718
1200,1,1,1,0,1,1.3391486751575414
602,1,0,0,1,1,-0.021212974916712615
1439,1,1,1,0,1,-0.34434735367047065
3985,0,0,0,0,0,-0.9930834528371539
723,0,0,0,1,0,0.7074285342229368
1986,0,0,0,0,0,-0.42707573857657083
3450,1,0,1,1,1,-0.4684239464871573
1150,1,0,1,1,1,-0.01152900964193159
3872,0,0,0,0,0,-0.8180073857223892
4016,0,0,1,0,0,1.5284233013031483
4118,1,1,0,0,0,0.967911790098064
1429,1,1,0,0,0,0.0765573439434162
4214,0,0,1,0,1,-0.851246611636641
3467,1,0,1,0,0,-0.7972583073598913
4051,1,0,1,0,0,-0.8413586966722307
2597,1,1,0,0,0,-1.2306972258579494
1673,0,0,1,1,1,0.322685953739596
2734,0,0,0,0,1,-0.6424377602816908
2868,0,1,0,0,1,-0.6995511631861377
1311,0,0,0,0,1,-0.8139369026984262
875,1,0,1,0,1,1.0035785908277302
1260,0,1,0,1,1,-0.7585745002427576
2483,1,1,1,1,1,1.269044485001615
2754,0,0,1,0,0,-0.2876937887348491
3640,1,0,0,0,1,-1.2450807879084775
4797,0,0,1,1,0,0.46926780250363365
4735,1,0,1,1,1,0.8872761899575836
1195,1,0,0,0,1,-0.8580333032943983
123,1,1,0,1,0,0.06324051446376372
4819,0,0,1,0,0,0.31846283814962767
3656,0,0,0,0,1,0.09563385222310453
1179,1,0,1,1,1,-0.4581442737642269
4418,0,0,0,0,0,0.8816203644170655
278,0,1,0,1,1,-0.2511168594020743
2947,0,0,0,1,1,-0.6056798736104871
2060,1,1,1,0,0,-1.7650829063230842
1573,1,1,0,0,0,-1.7557578951116601
4988,0,0,0,0,1,0.21590387052622748
1312,0,0,1,0,0,-0.0770499121260033
909,0,0,0,0,1,0.8874450191196289
519,1,1,1,1,1,1.1302843415298645
3759,0,0,1,0,1,-0.24510358856583095
3916,0,0,1,0,0,0.9486498964101034
1378,1,0,0,0,0,-0.561846112917767
2623,1,1,0,1,1,-0.14988985005231695
1540,1,0,1,0,0,-0.17848492700112717
1440,1,1,0,0,1,1.5790625462336425
2321,0,0,1,0,0,-1.278486106946232
2492,1,1,0,1,1,0.05913765614466894
1461,0,0,0,0,1,-0.6960350773298893
691,1,1,0,0,1,-0.2990149724967757
626,0,0,1,1,0,-0.34178257132284867
2603,1,0,1,0,0,0.07206393354443412
1392,1,0,0,1,1,1.3469175028094484
1754,0,0,0,0,0,1.9020003670073793
287,1,0,1,1,0,0.656571497753158
2858,0,0,0,1,1,-0.9791329666808096
628,0,1,1,0,1,-0.1746268055654237
533,0,0,1,1,1,0.2606021305974421
3612,0,1,0,0,0,-0.4069232623351696
1904,0,0,0,0,0,-0.2770749761862646
402,1,1,1,1,1,-0.07116055394194926
4282,0,0,0,1,1,0.7722121711046261
537,0,0,0,0,1,0.5301816954033818
2688,0,0,0,0,0,-0.610165670487756
932,1,1,0,0,1,0.5928341706330744
896,1,0,1,1,1,1.7243613593342195
659,1,0,1,0,0,-1.5129484343376072
3688,1,0,1,0,1,-0.43732959454068726
861,1,0,0,0,1,-0.5133552071964067
3674,1,1,0,0,0,0.07991664854173547
3885,1,1,1,0,0,-1.8238751703214071
2614,0,0,0,0,1,1.3610872756251309
784,1,1,1,1,1,0.046791762333159036
4333,1,0,1,0,0,0.2981333972092237
677,1,0,0,0,1,0.18231638023369642
4905,1,0,1,0,0,-0.516532501959888
327,1,1,1,1,1,0.6986545055665745
2428,1,0,1,0,1,0.005230019343576024
2831,0,0,0,0,1,-2.084664935374923
927,0,1,1,1,1,-0.10816363518936396
530,0,0,1,1,1,-0.27757230855956866
1163,1,0,1,1,1,0.6967416868884257
1809,1,1,1,1,0,2.701413088989703
1334,1,0,1,1,1,0.3776852783999971
401,1,1,0,0,0,2.1197985477894066
1520,1,1,1,1,1,-0.6862264298114726
4728,1,0,1,0,0,-0.6221238348293184
868,1,1,1,0,0,-0.24643391205677467
1504,1,0,1,0,1,0.4251921403700914
543,1,1,1,0,0,-0.6406026480568845
3204,0,0,1,0,0,-1.6118464334352516
4455,1,0,0,0,0,0.02305518847982946
3405,0,0,1,0,0,-1.1429939707765968
1638,0,0,0,0,0,1.1158289998288822
4030,1,1,0,0,0,0.6438703103709117
1431,1,0,1,1,0,-0.7595247532597775
169,1,0,0,1,0,0.45579206305335174
3535,0,0,1,1,0,-0.5481585621113527
580,0,1,0,1,1,-0.05219213357807115
4194,0,0,1,1,0,-0.041671455072371855
3596,0,0,0,0,1,-0.3356305244848129
2893,0,0,0,1,1,0.8306798775349497
2992,0,0,0,0,0,-1.1191637031894361
1298,0,0,1,1,1,0.5369761206998801
2472,0,0,0,0,1,0.3045291187893566
1992,0,0,1,0,1,-1.4045744716631332
1983,1,1,0,1,1,-0.7944211168521731
897,0,1,0,1,1,-1.0938792286426124
117,1,1,0,1,1,-0.36642668063308914
143,1,0,0,1,1,0.04842645721508445
254,0,1,0,1,1,-0.9283864541069922
3548,1,1,0,1,1,0.9691286058239527
4938,1,0,1,0,0,1.0577825689748717
4180,1,0,0,0,1,1.2344196269312036
1525,0,0,0,0,1,-2.7180451898802964
4420,1,0,0,0,1,1.9481682340257063
4412,1,0,1,0,0,0.166054370535673
3739,0,1,1,1,0,0.04729951330689839
4226,0,0,0,0,1,-0.10187382353381645
1992,0,0,0,0,1,-1.3212487006163607
997,1,1,0,1,1,0.35975809370219697
3524,0,0,0,1,1,1.6119443464363015
4640,1,1,0,0,0,0.15402381721942565
1358,0,0,1,0,1,-1.1150966731913972
2115,1,1,1,0,0,-1.5253067015949018
4933,0,0,1,0,0,-0.2940237382411192
1802,0,1,0,1,1,-0.7440268225098374
973,1,1,0,1,1,0.7025747939563883
665,0,1,0,0,1,1.3704187406333022
2118,0,0,0,0,0,0.4696514862419057
1985,0,1,1,0,0,-0.08509216035351526
2223,1,0,1,1,1,-0.13253162542077526
4742,1,0,0,0,1,0.07108358329652902
2414,1,1,0,1,1,-1.1599406324244144
4512,0,0,1,1,0,0.6022652621079181
3983,0,0,0,0,1,-1.0808171905667887
3292,1,0,0,0,0,1.1161688191908805
1959,1,0,1,1,1,-0.3632471244719285
124,0,0,1,1,1,0.8308091008023237
3603,0,0,1,0,1,-1.4732693157830477
4355,0,0,0,0,1,0.8237596147758428
1237,1,0,1,0,0,1.362527369656858
1289,0,0,0,0,0,-1.2815774590504725
4898,1,1,0,0,0,-0.11350360945569458
4196,0,0,0,1,1,0.3348861391212628
3257,0,0,0,0,0,0.38386786011265894
2467,0,0,0,0,0,-0.33955308421697794
